Date,Open,High,Low,Close,Volume
2015-01-01,249.82,251.07,245.25,247.2,9572823
2015-01-02,480.29,497.07,479.12,489.18,9320442
2015-01-05,392.8,392.87,386.8,387.38,4156390
2015-01-06,339.46,344.4,329.98,332.87,3912166
2015-01-07,162.41,177.23,159.05,166.56,6890681
2015-01-08,162.4,168.72,155.3,158.07,8513317
2015-01-09,123.23,125.27,115.23,124.03,7105183
2015-01-12,446.47,453.68,445.32,446.64,1860513
2015-01-13,340.45,345.85,328.78,336.56,8183671
2015-01-14,383.23,400.08,365.54,386.46,5428935
2015-01-15,108.23,114.5,105.2,111.63,6367578
2015-01-16,487.96,503.74,476.01,486.63,7460358
2015-01-19,432.98,450.81,419.68,446.74,2059288
2015-01-20,184.94,193.61,176.55,186.25,6586551
2015-01-21,172.73,190.93,158.71,172.87,6999566
2015-01-22,173.36,180.91,165.15,166.21,7810136
2015-01-23,221.7,240.98,211.6,225.25,5390741
2015-01-26,309.9,311.69,309.76,311.34,8052710
2015-01-27,272.78,286.52,258.94,275.89,3393432
2015-01-28,216.49,226.37,203.26,222.49,9242909
2015-01-29,344.74,352.49,343.97,348.18,3899529
2015-01-30,155.8,168.45,148.43,150.8,8681356
2015-02-02,216.86,230.94,197.28,197.74,2381173
2015-02-03,246.54,246.63,238.13,240.71,4027880
2015-02-04,282.43,285.77,272.39,281.73,2051628
2015-02-05,414.07,428.33,395.87,421.52,3386568
2015-02-06,179.87,193.2,165.52,173.71,5945868
2015-02-09,305.69,325.01,294.05,309.4,1148388
2015-02-10,336.97,352.19,321.01,334.14,8786637
2015-02-11,118.58,137.6,101.29,116.2,5126564
2015-02-12,343.02,357.07,333.88,339.24,6905480
2015-02-13,168.21,174.17,158.71,160.82,6077831
2015-02-16,126.02,128.13,118.3,120.23,6573798
2015-02-17,479.55,495.19,460.22,462.16,3926759
2015-02-18,486.25,499.14,472.31,477.62,7685237
2015-02-19,423.36,424.32,421.69,421.72,4101954
2015-02-20,221.85,229.05,204.59,219.93,8280054
2015-02-23,139.07,158.2,129.46,138.55,4162103
2015-02-24,373.69,383.7,372.32,383.4,9938606
2015-02-25,276.06,284.72,265.07,268.87,5973216
2015-02-26,148.82,157.97,140.47,146.52,8285599
2015-02-27,298.07,302.25,280.52,288.29,7961990
2015-03-02,113.76,121.13,109.68,109.77,6612050
2015-03-03,463.73,471.12,447.2,467.28,3577697
2015-03-04,203.51,204.56,192.36,192.75,8676465
2015-03-05,365.01,380.36,363.92,379.38,9820221
2015-03-06,224.68,233.01,205.25,230.02,7232238
2015-03-09,308.03,324.47,297.77,312.07,4047725
2015-03-10,318.68,335.69,312.87,325.27,6328567
2015-03-11,173.94,178.18,164.55,173.46,6710333
2015-03-12,487.83,500.98,470.68,482.41,4577141
2015-03-13,410.05,419.5,403.96,414.02,8912954
2015-03-16,475.8,493.4,471.95,472.91,1816473
2015-03-17,457.93,462.25,455.35,455.72,8216208
2015-03-18,339.16,352.72,333.2,342.12,7588847
2015-03-19,468.75,480.9,453.15,468.4,2430264
2015-03-20,135.4,141.3,125.96,139.58,7498450
2015-03-23,178.39,181.13,173.84,174.61,8072224
2015-03-24,118.09,131.12,114.77,128.22,3729974
2015-03-25,230.13,244.9,223.48,227.98,2335364
2015-03-26,255.47,261.78,236.67,246.57,5540272
2015-03-27,208.54,221.44,201.68,207.93,5709226
2015-03-30,431.5,439.4,411.73,422.8,9820939
2015-03-31,242.7,256.97,233.0,236.6,7589081
2015-04-01,212.37,216.36,208.79,212.6,3323729
2015-04-02,317.08,334.88,299.26,327.82,2649961
2015-04-03,156.37,162.12,147.16,153.77,6124595
2015-04-06,420.88,428.23,406.69,417.26,5709075
2015-04-07,129.82,130.98,110.15,127.83,5335972
2015-04-08,494.75,496.99,493.75,496.03,8173625
2015-04-09,408.9,419.22,406.96,412.97,6523711
2015-04-10,179.49,184.84,165.08,170.17,5640353
2015-04-13,102.21,118.92,96.57,116.35,2171116
2015-04-14,426.18,426.48,422.5,424.8,7982805
2015-04-15,382.74,390.32,381.96,383.81,6010919
2015-04-16,391.6,398.35,391.17,393.1,3859453
2015-04-17,408.51,408.89,393.02,405.77,2618755
2015-04-20,129.62,132.11,126.93,127.16,4622456
2015-04-21,243.39,251.66,234.03,251.52,3463208
2015-04-22,146.35,156.2,134.23,137.09,7886806
2015-04-23,445.24,453.33,436.67,449.93,5004168
2015-04-24,349.32,359.94,348.78,353.18,9784599
2015-04-27,232.36,244.26,216.69,230.26,2981908
2015-04-28,125.42,125.62,125.21,125.57,5998710
2015-04-29,224.39,233.67,209.16,219.28,9993487
2015-04-30,230.07,249.34,212.21,232.17,4398718
2015-05-01,391.84,402.22,383.19,384.12,1280759
2015-05-04,355.02,368.57,344.31,344.37,3119990
2015-05-05,454.89,461.12,445.35,449.21,6883417
2015-05-06,288.89,304.37,281.1,296.93,5660296
2015-05-07,147.84,163.3,130.09,134.12,9533216
2015-05-08,385.3,395.72,367.42,370.64,9324672
